Time,Driver,LapTime,NumberOfLaps,NumberOfPitStops,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest
0 days 00:41:44.148000,23,0 days 00:01:16.019000,11,2,,,0 days 00:00:26.386000,0 days 00:00:17.120000,0 days 00:00:32.513000,0 days 00:40:54.515000,0 days 00:41:11.635000,0 days 00:41:44.148000,290.0,327.0,304.0,326.0,True
0 days 00:49:29.371000,23,,12,3,,0 days 00:43:18.566000,0 days 00:00:34.556000,0 days 00:00:20.178000,,0 days 00:42:18.672000,0 days 00:42:38.966000,,240.0,269.0,,240.0,False
0 days 00:51:39.185000,23,0 days 00:02:09.814000,13,3,0 days 00:49:49.825000,,0 days 00:01:11.483000,0 days 00:00:19.107000,0 days 00:00:39.224000,0 days 00:50:40.854000,0 days 00:50:59.961000,0 days 00:51:39.185000,275.0,297.0,309.0,79.0,False
0 days 00:52:55.202000,23,0 days 00:01:16.017000,14,3,,,0 days 00:00:26.186000,0 days 00:00:17.034000,0 days 00:00:32.797000,0 days 00:52:05.371000,0 days 00:52:22.405000,0 days 00:52:55.202000,289.0,328.0,309.0,327.0,True
0 days 01:01:32.190000,23,,15,4,,0 days 00:54:34.168000,0 days 00:00:38.933000,0 days 00:00:21.109000,,0 days 00:53:34.223000,0 days 00:53:55.409000,,256.0,256.0,,261.0,False
0 days 01:03:38.386000,23,0 days 00:02:06.196000,16,4,0 days 01:01:54.914000,,0 days 00:01:04.527000,0 days 00:00:20.014000,0 days 00:00:41.655000,0 days 01:02:36.717000,0 days 01:02:56.731000,0 days 01:03:38.386000,259.0,302.0,311.0,176.0,False
0 days 01:04:54.559000,23,0 days 00:01:16.173000,17,4,,,0 days 00:00:26.325000,0 days 00:00:17.061000,0 days 00:00:32.787000,0 days 01:04:04.711000,0 days 01:04:21.772000,0 days 01:04:54.559000,288.0,328.0,307.0,329.0,True
0 days 01:09:34.351000,23,,18,5,,0 days 01:06:26.637000,0 days 00:00:33.147000,0 days 00:00:20.393000,,0 days 01:05:27.798000,0 days 01:05:48.178000,,252.0,271.0,,264.0,False
0 days 01:11:34.836000,23,0 days 00:02:00.485000,19,5,0 days 01:09:46.810000,,0 days 00:01:00.588000,0 days 00:00:18.870000,0 days 00:00:41.027000,0 days 01:10:34.939000,0 days 01:10:53.809000,0 days 01:11:34.836000,272.0,286.0,315.0,72.0,False
0 days 01:12:50.573000,23,0 days 00:01:15.737000,20,5,,,0 days 00:00:26.215000,0 days 00:00:16.978000,0 days 00:00:32.544000,0 days 01:12:01.051000,0 days 01:12:18.029000,0 days 01:12:50.573000,289.0,329.0,309.0,331.0,True
