LapNumber,Driver,LapTime,Stint,TotalLaps,Compound,New,TyresNotChanged,Time,LapFlags,LapCountTime,StartLaps,Outlap
6.0,27,0 days 00:01:32.035000,1,,,,,0 days 00:23:47.111000,1.0,,,
,44,,1,1.0,,,,0 days 00:23:52.005000,,,,
,16,,1,1.0,,,,0 days 00:24:02.009000,,,,
,18,,1,3.0,,,,0 days 00:24:02.009000,,,,
,63,,1,1.0,,,,0 days 00:24:07.002000,,,,
,81,,1,1.0,,,,0 days 00:24:12.012000,,,,
,6,,1,3.0,,,,0 days 00:24:12.012000,,,,
,14,,1,3.0,,,,0 days 00:24:21.999000,,,,
,31,,1,2.0,,,,0 days 00:24:21.999000,,,,
,31,,0,,,,,0 days 00:24:22.093000,0.0,,,
6.0,31,0 days 00:01:32.212000,1,,,,,0 days 00:24:22.093000,1.0,,,
,4,,1,1.0,,,,0 days 00:24:26.999000,,,,
,12,,1,1.0,,,,0 days 00:24:31.999000,,,,
,5,,1,3.0,,,,0 days 00:24:31.999000,,,,
,22,,1,6.0,,,,0 days 00:24:37.003000,,,,
,87,,1,2.0,,,,0 days 00:24:37.003000,,,,
,87,,0,,,,,0 days 00:24:37.300000,0.0,,,
6.0,87,0 days 00:01:32.018000,1,,,,,0 days 00:24:37.300000,1.0,,,
,55,,1,3.0,,,,0 days 00:24:47.003000,,,,
,7,,1,3.0,,,,0 days 00:24:47.003000,,,,
,23,,1,3.0,,,,0 days 00:25:02.009000,,,,
,30,,1,3.0,,,,0 days 00:25:12.015000,,,,
,44,,1,2.0,,,,0 days 00:25:27.011000,,,,
6.0,44,0 days 00:01:36.706000,1,,,,,0 days 00:25:27.323000,,,,
,16,,1,2.0,,,,0 days 00:25:32.015000,,,,
,27,,1,3.0,,,,0 days 00:25:32.015000,,,,
,10,,1,3.0,,,,0 days 00:25:32.015000,,,,
,16,,0,,,,,0 days 00:25:32.171000,0.0,,,
6.0,16,0 days 00:01:32.058000,1,,,,,0 days 00:25:32.171000,1.0,,,
,63,,1,2.0,,,,0 days 00:25:42.015000,,,,
,63,,0,,,,,0 days 00:25:42.718000,0.0,,,
6.0,63,0 days 00:01:32.022000,1,,,,,0 days 00:25:42.718000,1.0,,,
,81,,1,2.0,,,,0 days 00:25:47.046000,,,,
6.0,81,0 days 00:01:31.927000,1,,,,,0 days 00:25:47.093000,,,,
,4,,1,2.0,,,,0 days 00:25:57.016000,,,,
,4,,0,,,,,0 days 00:25:57.453000,0.0,,,
6.0,4,0 days 00:01:31.933000,1,,,,,0 days 00:25:57.453000,1.0,,,
,12,,1,2.0,,,,0 days 00:26:02.075000,,,,
