Time,Driver,Position,GapToLeader,IntervalToPositionAhead
0 days 00:55:38.451000,1,2,+1.010,+1.010
0 days 00:55:43.052000,1,2,+1.038,+1.038
0 days 00:55:47.040000,1,2,+1.072,+1.072
0 days 00:55:53.071000,1,2,+0.981,+0.981
0 days 00:55:58.357000,1,2,+0.973,+0.973
0 days 00:56:02.636000,1,2,+0.932,+0.932
0 days 00:56:07.309000,1,2,+0.865,+0.865
0 days 00:56:11.025000,1,2,+0.660,+0.660
0 days 00:56:19.188000,1,2,+0.670,+0.670
0 days 00:56:23.063000,1,2,+0.696,+0.696
0 days 00:56:23.946000,1,2,+0.676,+0.676
0 days 00:56:28.263000,1,2,+0.666,+0.666
0 days 00:56:32.464000,1,2,+0.480,+0.480
0 days 00:56:33.580000,1,2,+0.402,+0.402
0 days 00:56:35.792000,1,2,+0.328,+0.328
0 days 00:56:40.941000,1,2,+0.536,+0.536
0 days 00:56:46.386000,1,2,+0.543,+0.543
0 days 00:56:50.620000,1,2,+0.647,+0.647
0 days 00:56:53.617000,1,2,+0.650,+0.650
0 days 00:57:00.678000,1,2,+0.699,+0.699
0 days 00:57:04.425000,1,2,+0.705,+0.705
0 days 00:57:08.391000,1,2,+0.689,+0.689
0 days 00:57:14.082000,1,2,+0.608,+0.608
0 days 00:57:18.758000,1,2,+0.690,+0.690
0 days 00:57:22.702000,1,2,+0.725,+0.725
0 days 00:57:28.840000,1,2,+0.773,+0.773
0 days 00:57:34.081000,1,2,+0.842,+0.842
0 days 00:57:38.406000,1,2,+0.852,+0.852
0 days 00:57:43.102000,1,2,+0.787,+0.787
0 days 00:57:46.709000,1,2,+0.566,+0.566
0 days 00:57:55.163000,1,2,+0.620,+0.620
0 days 00:57:59.038000,1,2,+0.675,+0.675
0 days 00:57:59.918000,1,2,+0.669,+0.669
0 days 00:58:04.209000,1,2,+0.618,+0.618
0 days 00:58:08.414000,1,2,+0.427,+0.427
0 days 00:58:09.537000,1,2,+0.354,+0.354
0 days 00:58:12.059000,1,2,+0.438,+0.438
0 days 00:58:17.289000,1,2,+0.391,+0.391
0 days 00:58:22.955000,1,2,+0.657,+0.657
0 days 00:58:27.183000,1,2,+0.666,+0.666
0 days 00:58:30.116000,1,2,+0.670,+0.670
0 days 00:58:37.262000,1,2,+0.696,+0.696
0 days 00:58:41.001000,1,2,+0.694,+0.694
0 days 00:58:45.014000,1,2,+0.632,+0.632
0 days 00:58:50.789000,1,2,+0.757,+0.757
0 days 00:58:55.542000,1,2,+0.914,+0.914
0 days 00:58:59.551000,1,2,+0.979,+0.979
0 days 00:59:05.726000,1,2,+1.038,+1.038
0 days 00:59:11.122000,1,2,+1.053,+1.053
0 days 00:59:15.443000,1,2,+1.064,+1.064
0 days 00:59:20.267000,1,2,+1.073,+1.073
0 days 00:59:24.110000,1,2,+1.067,+1.067
0 days 00:59:32.544000,1,2,+1.135,+1.135
0 days 00:59:36.411000,1,2,+1.160,+1.160
0 days 00:59:37.315000,1,2,+1.132,+1.132
0 days 00:59:41.664000,1,2,+1.121,+1.121
0 days 00:59:46.110000,1,2,+1.125,+1.125
0 days 00:59:47.249000,1,2,+1.114,+1.114
0 days 00:59:49.680000,1,2,+1.173,+1.173
0 days 00:59:54.901000,1,2,+1.278,+1.278
0 days 01:00:00.259000,1,2,+1.253,+1.253
0 days 01:00:04.557000,1,2,+1.356,+1.356
0 days 01:00:07.496000,1,2,+1.358,+1.358
0 days 01:00:14.588000,1,2,+1.434,+1.434
0 days 01:00:18.324000,1,2,+1.454,+1.454
0 days 01:00:22.420000,1,2,+1.475,+1.475
0 days 01:00:28.181000,1,2,+1.415,+1.415
0 days 01:00:32.893000,1,2,+1.521,+1.521
0 days 01:00:36.912000,1,2,+1.580,+1.580
0 days 01:00:43.060000,1,2,+1.535,+1.535
0 days 01:00:48.338000,1,2,+1.362,+1.362
0 days 01:00:52.653000,1,2,+1.344,+1.344
0 days 01:00:57.448000,1,2,+1.348,+1.348
0 days 01:01:01.267000,1,2,+1.337,+1.337
0 days 01:01:09.615000,1,2,+1.267,+1.267
0 days 01:01:13.484000,1,2,+1.277,+1.277
0 days 01:01:14.391000,1,2,+1.267,+1.267
0 days 01:01:18.764000,1,2,+1.299,+1.299
0 days 01:01:23.102000,1,2,+1.301,+1.301
0 days 01:01:24.253000,1,2,+1.292,+1.292
0 days 01:01:26.526000,1,2,+1.202,+1.202
0 days 01:01:31.621000,1,2,+1.122,+1.122
0 days 01:01:37.091000,1,2,+1.145,+1.145
0 days 01:01:41.361000,1,2,+1.199,+1.199
0 days 01:01:44.316000,1,2,+1.200,+1.200
0 days 01:01:51.710000,1,2,+1.542,+1.542
0 days 01:01:55.414000,1,2,+1.539,+1.539
