Time,Driver,LapTime,NumberOfLaps,NumberOfPitStops,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest
0 days 00:44:09.957000,55,0 days 00:02:08.857000,10,2,,0 days 00:44:08.147000,0 days 00:00:36.168000,0 days 00:00:37.279000,0 days 00:00:55.410000,0 days 00:42:37.268000,0 days 00:43:14.547000,0 days 00:44:09.957000,187.0,199.0,,266.0,False
0 days 00:15:03.599000,1,,1,0,0 days 00:13:01.086000,,,0 days 00:00:32.457000,0 days 00:00:52.515000,,0 days 00:14:11.126000,0 days 00:15:03.599000,265.0,258.0,268.0,259.0,False
0 days 00:16:35.928000,1,0 days 00:01:32.329000,2,0,,,0 days 00:00:24.576000,0 days 00:00:27.770000,0 days 00:00:39.983000,0 days 00:15:28.175000,0 days 00:15:55.945000,0 days 00:16:35.928000,281.0,274.0,268.0,334.0,True
0 days 00:18:45.465000,1,0 days 00:02:09.537000,3,1,,0 days 00:18:43.487000,0 days 00:00:35.643000,0 days 00:00:38.240000,0 days 00:00:55.654000,0 days 00:17:11.571000,0 days 00:17:49.811000,0 days 00:18:45.465000,161.0,196.0,,248.0,False
0 days 00:23:40.065000,1,,4,1,0 days 00:21:34.611000,,,0 days 00:00:37.092000,0 days 00:00:48.750000,,0 days 00:22:51.355000,0 days 00:23:40.252000,208.0,210.0,270.0,255.0,False
0 days 00:25:11.981000,1,0 days 00:01:31.916000,5,1,,,0 days 00:00:24.533000,0 days 00:00:27.634000,0 days 00:00:39.749000,0 days 00:24:04.598000,0 days 00:24:32.232000,0 days 00:25:11.981000,281.0,274.0,268.0,336.0,True
0 days 00:27:20.859000,1,0 days 00:02:08.878000,6,2,,0 days 00:27:19.099000,0 days 00:00:32.783000,0 days 00:00:38.301000,0 days 00:00:57.794000,0 days 00:25:44.764000,0 days 00:26:23.065000,0 days 00:27:20.859000,186.0,197.0,,231.0,False
0 days 00:33:48.903000,1,,7,2,0 days 00:31:54.535000,,,0 days 00:00:35.590000,0 days 00:00:46.177000,,0 days 00:33:02.820000,0 days 00:33:48.961000,221.0,262.0,269.0,271.0,False
0 days 00:35:20.424000,1,0 days 00:01:31.521000,8,2,,,0 days 00:00:24.377000,0 days 00:00:27.529000,0 days 00:00:39.615000,0 days 00:34:13.280000,0 days 00:34:40.809000,0 days 00:35:20.424000,281.0,275.0,267.0,337.0,True
0 days 00:37:30.920000,1,0 days 00:02:10.496000,9,3,,0 days 00:37:28.833000,0 days 00:00:37.189000,0 days 00:00:39.947000,0 days 00:00:53.360000,0 days 00:35:57.613000,0 days 00:36:37.560000,0 days 00:37:30.920000,148.0,227.0,,264.0,False
0 days 00:55:26.460000,1,,10,3,0 days 00:53:25.966000,,,0 days 00:00:37.234000,0 days 00:00:51.283000,,0 days 00:54:35.177000,0 days 00:55:26.472000,205.0,245.0,271.0,259.0,False
