LapNumber,Driver,LapTime,Stint,TotalLaps,Compound,New,TyresNotChanged,Time,LapFlags,LapCountTime,StartLaps,Outlap
,31,,1,6.0,,,,0 days 00:27:57.402000,,,,
,12,,2,0.0,UNKNOWN,False,1,0 days 00:31:32.473000,0.0,,0.0,
,12,,2,,MEDIUM,True,0,0 days 00:31:37.473000,,,,
,63,,1,0.0,MEDIUM,True,0,0 days 00:31:42.473000,0.0,,0.0,
,5,,2,0.0,UNKNOWN,False,1,0 days 00:31:47.473000,0.0,,0.0,
,5,,2,,MEDIUM,True,0,0 days 00:31:52.473000,,,,
,1,,2,0.0,MEDIUM,True,0,0 days 00:31:57.473000,0.0,,0.0,
,4,,1,0.0,MEDIUM,True,0,0 days 00:32:07.484000,0.0,,0.0,
,81,,1,0.0,MEDIUM,True,0,0 days 00:32:12.484000,0.0,,0.0,
,44,,2,0.0,MEDIUM,True,0,0 days 00:32:22.484000,0.0,,0.0,
,16,,2,0.0,UNKNOWN,False,1,0 days 00:32:32.492000,0.0,,0.0,
,16,,2,,MEDIUM,True,0,0 days 00:32:37.492000,,,,
,12,,2,1.0,,,,0 days 00:33:27.492000,,,,
,63,,1,1.0,,,,0 days 00:33:37.492000,,,,
,5,,2,1.0,,,,0 days 00:33:42.508000,,,,
,1,,2,1.0,,,,0 days 00:33:52.508000,,,,
,4,,1,1.0,,,,0 days 00:33:57.500000,,,,
,81,,1,1.0,,,,0 days 00:34:07.500000,,,,
,44,,2,1.0,,,,0 days 00:34:17.503000,,,,
,16,,2,1.0,,,,0 days 00:34:27.503000,,,,
,12,,2,2.0,,,,0 days 00:35:17.514000,,,,
,44,,1,,,,,0 days 00:35:17.749000,1.0,,,
,12,,1,,,,,0 days 00:35:17.749000,0.0,,,
10.0,12,0 days 00:01:48.244000,2,,,,,0 days 00:35:17.749000,3.0,,,
,63,,1,2.0,,,,0 days 00:35:22.504000,,,,
,1,,2,2.0,,,,0 days 00:35:22.504000,,,,
,63,,0,,,,,0 days 00:35:22.848000,0.0,,,
11.0,63,0 days 00:01:48.570000,1,,,,,0 days 00:35:22.848000,1.0,,,
,12,,2,,,,,0 days 00:35:22.848000,1.0,,,
,1,,1,,,,,0 days 00:35:22.848000,0.0,,,
9.0,1,0 days 00:01:31.521000,2,,,,,0 days 00:35:22.848000,3.0,,,
,4,,1,2.0,,,,0 days 00:35:27.629000,,,,
,4,,0,,,,,0 days 00:35:27.660000,0.0,,,
9.0,4,0 days 00:01:31.174000,1,,,,,0 days 00:35:27.660000,3.0,,,
,1,,2,,,,,0 days 00:35:27.660000,1.0,,,
,5,,2,2.0,,,,0 days 00:35:42.504000,,,,
,5,,1,,,,,0 days 00:35:42.629000,0.0,,,
9.0,5,0 days 00:02:01.932000,2,,,,,0 days 00:35:42.629000,1.0,,,
,44,,2,2.0,,,,0 days 00:35:47.520000,,,,
,44,,1,,,,,0 days 00:35:48.004000,0.0,,,
9.0,44,0 days 00:01:32.125000,2,,,,,0 days 00:35:48.004000,1.0,,,
