Time,Driver,Position,GapToLeader,IntervalToPositionAhead
0 days 01:02:33.889000,63,3,+1.915,+0.725
0 days 01:02:39.328000,63,3,+1.835,+0.788
0 days 01:02:43.565000,63,3,+1.908,+0.853
0 days 01:02:46.565000,63,3,+1.879,+0.850
0 days 01:02:53.842000,63,3,+1.962,+0.868
0 days 01:02:57.629000,63,3,+1.942,+0.865
0 days 01:03:01.681000,63,3,+1.848,+0.810
0 days 01:03:07.441000,63,3,+1.923,+0.681
0 days 01:03:12.199000,63,3,+2.032,+0.772
0 days 01:03:16.250000,63,3,+2.056,+0.820
0 days 01:03:22.430000,63,3,+2.078,+0.924
0 days 01:03:27.929000,63,3,+2.178,+1.064
0 days 01:03:32.384000,63,3,+2.193,+1.096
0 days 01:03:37.139000,63,3,+2.115,+1.041
0 days 01:03:40.814000,63,3,+1.918,+0.870
0 days 01:03:49.265000,63,3,+1.926,+0.861
0 days 01:03:53.265000,63,3,+1.915,+0.836
0 days 01:03:54.239000,63,3,+1.962,+0.867
0 days 01:03:58.628000,63,3,+1.935,+0.941
0 days 01:04:02.879000,63,3,+1.712,+0.787
0 days 01:04:04.039000,63,3,+1.643,+0.738
0 days 01:04:06.465000,63,3,+1.742,+0.782
0 days 01:04:11.720000,63,3,+1.812,+1.002
0 days 01:04:17.110000,63,3,+1.704,+0.937
0 days 01:04:21.430000,63,3,+1.770,+0.978
0 days 01:04:24.440000,63,3,+1.742,+0.970
0 days 01:04:31.665000,63,3,+1.853,+0.917
0 days 01:04:35.529000,63,3,+1.876,+0.937
0 days 01:04:39.583000,63,3,+1.859,+0.973
0 days 01:04:45.217000,63,3,+1.814,+0.843
0 days 01:04:50.113000,63,3,+1.971,+0.935
0 days 01:04:54.129000,63,3,+1.999,+0.978
0 days 01:05:00.366000,63,3,+2.040,+0.972
0 days 01:05:05.729000,63,3,+2.105,+0.971
0 days 01:05:10.130000,63,3,+2.088,+0.960
0 days 01:05:14.908000,63,3,+1.993,+0.887
0 days 01:05:18.519000,63,3,+1.797,+0.713
0 days 01:05:26.866000,63,3,+1.791,+0.703
0 days 01:05:30.917000,63,3,+1.779,+0.713
0 days 01:05:31.835000,63,3,+1.802,+0.774
0 days 01:05:36.301000,63,3,+1.774,+0.865
0 days 01:05:40.546000,63,3,+1.561,+0.716
0 days 01:05:41.684000,63,3,+1.485,+0.659
0 days 01:05:44.095000,63,3,+1.511,+0.696
0 days 01:05:49.489000,63,3,+1.712,+1.029
0 days 01:05:54.940000,63,3,+1.725,+0.808
0 days 01:05:59.303000,63,3,+1.822,+0.885
0 days 01:06:02.270000,63,3,+1.796,+0.874
0 days 01:06:09.502000,63,3,+1.840,+0.751
0 days 01:06:13.337000,63,3,+1.817,+0.776
0 days 01:06:17.389000,63,3,+1.795,+0.742
0 days 01:06:23.133000,63,3,+1.753,+0.663
0 days 01:06:27.988000,63,3,+1.797,+0.763
0 days 01:06:32.007000,63,3,+1.785,+0.811
0 days 01:06:38.241000,63,3,+1.914,+0.840
0 days 01:06:43.606000,63,3,+1.922,+0.828
0 days 01:06:47.973000,63,3,+1.889,+0.817
0 days 01:06:52.690000,63,3,+1.767,+0.720
